id_instancia;Optimizer;Tempos Máximos;Quantidade_de_drones;Z;Tempo Computacional;t_max_solver
2;highs;160;2;inf;23.905;300
2;highs;180;2;inf;21.116;300
2;highs;200;2;192.02;18.001;300
2;highs;300;2;192.02;14.766;300
2;highs;1000;2;192.02;18.235;300
2;highs;2000;2;192.02;20.168;300
2;highs;100;3;inf;32.217;300
2;highs;120;3;inf;38.832;300
2;highs;140;3;inf;67.5;300
2;highs;160;3;inf;29.648;300
2;highs;180;3;inf;72.734;300
2;highs;200;3;194.02;17.897;300
2;highs;300;3;194.02;24.196;300
2;highs;1000;3;194.02;26.472;300
2;highs;2000;3;194.02;27.548;300
2;highs;100;4;inf;120.598;300
2;highs;120;4;inf;50.232;300
2;highs;140;4;inf;118.052;300
2;highs;160;4;inf;112.296;300
2;highs;180;4;inf;44.18;300
2;highs;200;4;196.02;33.636;300
2;highs;300;4;196.02;30.394;300
2;highs;1000;4;196.02;32.82;300
2;highs;2000;4;196.02;34.181;300
2;highs;100;5;inf;98.183;300
2;highs;120;5;inf;78.835;300
2;highs;140;5;inf;87.47;300
2;highs;160;5;inf;178.222;300
2;highs;180;5;inf;57.765;300
2;highs;200;5;198.02;32.902;300
2;highs;300;5;198.02;38.499;300
2;highs;1000;5;198.02;43.582;300
2;highs;2000;5;198.02;44.48;300
1;highs;100;1;inf;1.036;600
1;highs;120;1;inf;0.55;600
1;highs;140;1;inf;0.55;600
1;highs;160;1;inf;0.517;600
1;highs;180;1;inf;0.562;600
1;highs;200;1;190.02;0.551;600
1;highs;300;1;190.02;0.551;600
1;highs;1000;1;190.02;0.582;600
1;highs;2000;1;190.02;0.552;600
1;highs;100;2;inf;1.076;600
1;highs;120;2;inf;1.122;600
1;highs;140;2;inf;1.085;600
1;highs;160;2;inf;1.084;600
1;highs;180;2;inf;1.116;600
1;highs;200;2;192.02;1.095;600
1;highs;300;2;192.02;1.204;600
1;highs;1000;2;192.02;1.232;600
1;highs;2000;2;192.02;1.217;600
1;highs;100;3;inf;1.668;600
1;highs;120;3;inf;1.683;600
1;highs;140;3;inf;1.649;600
1;highs;160;3;inf;1.682;600
1;highs;180;3;inf;1.651;600
1;highs;200;3;194.02;1.652;600
1;highs;300;3;194.02;1.819;600
1;highs;1000;3;194.02;1.797;600
1;highs;2000;3;194.02;1.767;600
1;highs;100;4;inf;2.218;600
1;highs;120;4;inf;2.216;600
1;highs;140;4;inf;2.301;600
1;highs;160;4;inf;2.182;600
1;highs;180;4;inf;2.201;600
1;highs;200;4;196.02;2.217;600
1;highs;300;4;196.02;2.408;600
1;highs;1000;4;196.02;2.404;600
1;highs;2000;4;196.02;2.333;600
1;highs;100;5;inf;2.861;600
1;highs;120;5;inf;2.801;600
1;highs;140;5;inf;2.896;600
1;highs;160;5;inf;2.839;600
1;highs;180;5;inf;2.873;600
1;highs;200;5;198.02;2.795;600
1;highs;300;5;198.02;2.98;600
1;highs;1000;5;198.02;3.026;600
1;highs;2000;5;198.02;3.002;600
2;highs;100;1;inf;2.711;600
2;highs;120;1;inf;2.747;600
2;highs;140;1;inf;2.751;600
2;highs;160;1;inf;7.351;600
2;highs;180;1;inf;13.331;600
2;highs;200;1;190.02;4.054;600
2;highs;300;1;190.02;5.444;600
2;highs;1000;1;190.02;7.185;600
2;highs;2000;1;190.02;6.917;600
2;highs;100;2;inf;16.003;600
2;highs;120;2;inf;25.455;600
2;highs;140;2;inf;24.922;600
2;highs;160;2;inf;22.899;600
2;highs;180;2;inf;26.485;600
2;highs;200;2;192.02;9.099;600
2;highs;300;2;192.02;14.666;600
2;highs;1000;2;192.02;15.923;600
2;highs;2000;2;192.02;16.066;600
2;highs;100;3;inf;20.392;600
2;highs;120;3;inf;36.411;600
2;highs;140;3;inf;77.004;600
2;highs;160;3;inf;29.749;600
2;highs;180;3;inf;67.733;600
2;highs;200;3;194.02;16.897;600
2;highs;300;3;194.02;25.758;600
2;highs;1000;3;194.02;26.493;600
2;highs;2000;3;194.02;28.91;600
2;highs;100;4;inf;34.154;600
2;highs;120;4;inf;53.783;600
2;highs;140;4;inf;109.846;600
2;highs;160;4;inf;31.351;600
2;highs;180;4;inf;44.829;600
2;highs;200;4;196.02;25.05;600
2;highs;300;4;196.02;33.051;600
2;highs;1000;4;196.02;33.383;600
2;highs;2000;4;196.02;32.58;600
2;highs;100;5;inf;75.502;600
2;highs;120;5;inf;112.194;600
2;highs;140;5;inf;151.014;600
2;highs;160;5;inf;156.464;600
2;highs;180;5;inf;50.3;600
2;highs;200;5;198.02;33.865;600
2;highs;300;5;198.02;38.266;600
2;highs;1000;5;198.02;46.253;600
2;highs;2000;5;198.02;49.648;600
